Base_Position 	Mean_Quality_Score
1	30
2	30
3	33
4	34
5	35
6	37
7	38
8	38
9	38
10	38
11	38
12	38
13	38
14	38
15	38
16	38
17	38
18	38
19	38
20	38
21	38
22	38
23	38
24	38
25	38
26	38
27	38
28	38
29	38
30	38
31	38
32	37
33	37
34	37
35	37
36	37
37	37
38	37
39	37
40	37
41	37
42	37
43	37
44	38
45	38
46	38
47	38
48	37
49	37
50	37
51	38
52	38
53	38
54	37
55	37
56	37
57	37
58	37
59	37
60	37
61	37
62	37
63	37
64	37
65	37
66	37
67	37
68	37
69	37
70	37
71	37
72	37
73	37
74	37
75	37
76	37
77	36
78	36
79	37
80	37
81	37
82	37
83	37
84	37
85	37
86	37
87	37
88	37
89	37
90	37
91	37
92	37
93	37
94	37
95	36
96	36
97	36
98	36
99	36
100	36
101	34
